TextID_D,Date_D,Ruler,Year,Month,Day,Dossier_D,Archive_D,Genre_D,Locus_D,Stratum_D,ExcNum_C,MusAcc_C,Mus_C,TNum,Pnum,TextID_A,TextID_C,TextNum_A
NIPPUR 4803,1790,Rim-Sin,33,11,-,"CRH (Expenditures, Fodder)",Nippur's CRH (Penn Excav.),Administrative - Expenditures (textiles),,,-,-,CBS 07479,-,P262480,-,"ASJ 05 161, CBS 7479",-
UR 1516,1790,Rim-Sin,33,12,-,legal (land sale),Ur (unprov),Legal - Sale (Land),,,-,-,YBC 05353,T11112,P293283,YBC 5353,YOS 08 132,YOS 8 132
UR 862,1790,Rim-Sin,33,12, -,Dumuzi-Gamil,"Ur's Neighborhood (AH), Niche Lane 3",Legal - Loan (silver),,,U 16597g,"1953-04-11, 0141",BM 131306,T12361,P415235,"BM 131306 = 1953-04-11, 141 = U.16597g",UET 5 353,UET 5 353
UR 893,1790,Rim-Sin,33,12, 1,Warad-Sin,"Ur's Neighborhood (AH), House no 1",Legal - Loan (shu-la),,,U 16591,"1953-04-11, 0150",BM 131315,T12390,P415264,"BM 131315 = 1953-04-11, 150 = U.16591",UET 5 384,UET 5 384
UR 535,1790,Rim-Sin,33,12, 30,Legal (Work hire),Ur's neighborhood (AH)?,Legal - Work hire,,,-,-,IM 057293,T13049,P415126,IM 57293,UET 5 239,UET 5 239
UR 942,1790,Rim-Sin,33,12, 30,Dumuzi-Gamil,"Ur's Neighborhood (AH), Niche Lane 3",Legal - payment (silver),,,U 17249.35,-,IM 057386,T12500,P415310,"IM 57386 = U.17249,35",UET 5 433,UET 5 433
UR 858,1790,Rim-Sin,33,2, 30,Dumuzi-Gamil,"Ur's Neighborhood (AH), Niche Lane 3",Legal - Loan (silver),,,U 16597b,"1953-04-11, 0137",BM 131302,T12357,P415231,"BM 131302 = 1953-04-11, 137 = U.16597b",UET 5 349,UET 5 349
NIPPUR 224,1790,Rim-Sin,33,3, -,TA - House K?: Ninlil-Zimu,Nippur (Hilprecht),Legal - Inheritance,,,-,-,HS 2402,T23287,P504409,-,TMH 10 16,TMH 10 16
NIPPUR 284,1790,Rim-Sin,33,3, -,TA - House I?: Damiq-ilishu,Nippur (Hilprecht),Legal - Credit (silver),,,-,-,HS 2168,T23450,P512607,HS 2168,TMH 10 74,TMH 10 74
UR 859,1790,Rim-Sin,33,3, -,Dumuzi-Gamil,"Ur's Neighborhood (AH), Niche Lane 3",Legal - Loan (silver),,,U 16592f,"1953-04-11, 0138",BM 131303,T12358,P415232,"BM 131303 = 1953-04-11, 138 = U.16592f",UET 5 350,UET 5 350
UR 860,1790,Rim-Sin,33,3, -,Dumuzi-Gamil,"Ur's Neighborhood (AH), Niche Lane 3",Legal - Loan (silver),,,U 17249.56,"1953-04-11, 0139",BM 131304,T12360,P415233,"BM 131304 = 1953-04-11, 139 = U.17249,56",UET 5 351,UET 5 351
UR 927,1790,Rim-Sin,33,5, -,Legal (loan),UR (UET 5),Legal - Loan (shu-la) ,,,U �,-,UM 52-30-163,T12422,P415296,UM 52-30-163,UET 5 418,UET 5 418
UR 993,1790,Rim-Sin,33,5, -,Mannum-kima-Shamash,"Ur's Neighborhood (AH), Old Street 1",Administrative - Delivery (barley),,,U 16524a,-,IM 057414,T12550,P415359,IM 57414 = U.16524a,UET 5 484,UET 5 484
NIPPUR 357,1790,Rim-Sin,33,6, -,"CRH (Expenditures, Fodder)",Nippur's CRH (Penn Excav.),Administrative - Expenditure (fodder),,,-,-,HS 2051,T23531,P512683,HS 2051,TMH 10 154,TMH 10 154
NIPPUR 4005,1790,Rim-Sin,33,6,-,"CRH (Administrative, Unpublished)",Nippur (Penn excavations),Administrative,,,-,-,UM 29-16-070,-,P256676,-,-,-
UR 903,1790,Rim-Sin,33,6, -,Sin-imgur,UR (UET 5),Legal - Loan (dates),,,-,-,IM 057369,T12399,P415273,IM 57369,UET 5 394,UET 5 394
UR 915,1790,Rim-Sin,33,6, -,Dumuzi-Gamil,"Ur's Neighborhood (AH), Niche Lane 3",Administrative - Delivery (barley),,,U 16595c,"1953-04-11, 0155",BM 131320,T12411,P415284,"BM 131320 = 1953-04-11, 155 = U.16595c",UET 5 406,UET 5 406
NIPPUR 375,1790,Rim-Sin,33,6, 19,"CRH (Expenditures, Labor)",Nippur's CRH (Penn Excav.),Administrative - Expenditure (fodder),,,-,-,HS 2049,T23549,P512701,HS 2049,TMH 10 172,TMH 10 172
NIPPUR 374,1790,Rim-Sin,33,6, 24,"CRH (Expenditures, Barley)",Nippur's CRH (Penn Excav.),Administrative - expenditure (fodder),,,-,-,HS 2056,T23548,P512700,HS 2056,TMH 10 171,TMH 10 171
NIPPUR 358,1790,Rim-Sin,33,6, 28,"CRH (Expenditures, Fodder)",Nippur's CRH (Penn Excav.),Administrative - Expenditure (fodder),,,-,-,HS 2053,T23532,P512684,HS 2053,TMH 10 155,TMH 10 155
